date_time,dwd_airport,dwd_urban,wbi,uni_meteo
2020-11-30 00:00:00,-3.4,0.002517865,-1.56,-1.094167
2020-11-30 01:00:00,-4.3,-0.02016659,-1.34,-1.074083
2020-11-30 02:00:00,-4.8,-0.1188845,-2.02,-1.36425
2020-11-30 03:00:00,-4.5,-0.6387243,-2.83,-2.041
2020-11-30 04:00:00,-5.4,-0.7213045,-2.77,-2.138667
2020-11-30 05:00:00,-5.1,-0.0262423,-2.22,-2.257333
2020-11-30 06:00:00,-5.7,-0.7380796,-2.85,-2.222167
2020-11-30 07:00:00,-4.5,-0.7062163,-2.86,-2.457667
2020-11-30 08:00:00,-3.7,2.132812,-2.41,-2.430083
2020-11-30 09:00:00,-1.8,-0.8148101,-1.99,-2.054333
2020-11-30 10:00:00,0.7,-0.922981,-0.69,-1.396167
2020-11-30 11:00:00,1.9,0.2687316,1.03,0.2000833
2020-11-30 12:00:00,2.5,0.6963602,1.7,3.052167
2020-11-30 13:00:00,2.9,1.404352,2.05,3.80125
2020-11-30 14:00:00,3,1.898878,2.43,4.170084
2020-11-30 15:00:00,2.7,2.296541,2.39,3.5395
2020-11-30 16:00:00,0.5,2.195936,1.37,2.495333
2020-11-30 17:00:00,0.7,2.144185,-0.23,1.020833
2020-11-30 18:00:00,0,1.570017,-0.69,0.1933333
2020-11-30 19:00:00,0.1,1.490498,-0.86,-0.3316667
2020-11-30 20:00:00,0.3,1.304496,-0.87,-0.6329166
2020-11-30 21:00:00,-1.8,1.085406,-1.32,-0.8921666
2020-11-30 22:00:00,-2.5,0.8385686,-1.48,-0.8485
2020-11-30 23:00:00,-1.2,0.5001665,-0.9,-1.159583
2020-12-01 00:00:00,0.6,0.2017152,-0.61,-0.3575
2020-12-01 01:00:00,0.9,0.8516209,-0.26,-0.2240833
2020-12-01 02:00:00,1.3,0.8982677,0.3,0.0565
2020-12-01 03:00:00,2.8,1.145784,1.07,1.096
2020-12-01 04:00:00,3.5,2.330073,2.86,1.499167
2020-12-01 05:00:00,3.8,2.991039,3.41,3.113916
2020-12-01 06:00:00,1.6,3.756941,2.93,3.550333
2020-12-01 07:00:00,1.1,2.257571,0.95,1.780833
2020-12-01 08:00:00,1.7,0.6994186,0.97,1.018417
2020-12-01 09:00:00,1.6,0.7594456,1.29,1.396583
2020-12-01 10:00:00,2.1,1.300908,1.52,1.618417
2020-12-01 11:00:00,2.5,1.633159,1.72,1.869833
2020-12-01 12:00:00,3,2.016196,2.1,2.164667
2020-12-01 13:00:00,3.1,2.495595,2.59,2.652167
2020-12-01 14:00:00,3.5,2.413882,2.95,3.054833
2020-12-01 15:00:00,3.1,2.584867,2.92,3.266666
2020-12-01 16:00:00,2.7,2.860323,2.75,3.327167
2020-12-01 17:00:00,2.7,2.735382,2.35,3.173083
2020-12-01 18:00:00,2.6,2.532933,2.24,3.057
2020-12-01 19:00:00,2.3,2.475801,2.15,2.909333
2020-12-01 20:00:00,1.6,2.522815,2.11,2.819667
2020-12-01 21:00:00,2,2.412987,2.03,2.735667
2020-12-01 22:00:00,1.7,2.408085,2.08,2.743167
2020-12-01 23:00:00,1.7,2.46965,1.97,2.597833
2020-12-02 00:00:00,1,2.378027,1.63,2.417167
2020-12-02 01:00:00,0.9,2.449491,1.43,2.054667
2020-12-02 02:00:00,1.2,1.566845,1.93,2.125833
2020-12-02 03:00:00,1.3,1.618319,1.8,2.228083
2020-12-02 04:00:00,1.4,1.360418,1.68,2.072
2020-12-02 05:00:00,1.6,1.334101,1.67,2.056333
2020-12-02 06:00:00,1.8,1.303075,1.75,2.010167
2020-12-02 07:00:00,2,1.511452,1.85,2.234333
2020-12-02 08:00:00,2,1.612211,1.99,2.279667
2020-12-02 09:00:00,2.2,1.712011,2.09,2.398833
2020-12-02 10:00:00,2.5,1.821042,2.27,2.631917
2020-12-02 11:00:00,2.7,1.723219,2.67,2.9135
2020-12-02 12:00:00,3.6,2.134231,2.99,3.29375
2020-12-02 13:00:00,3.9,2.534901,3.3,3.501166
2020-12-02 14:00:00,4,3.126662,3.88,4.016333
2020-12-02 15:00:00,3.6,3.396285,3.59,4.127166
2020-12-02 16:00:00,2.8,3.287457,3.12,3.643416
2020-12-02 17:00:00,2.4,2.77098,2.47,3.146583
2020-12-02 18:00:00,2,1.91384,2.11,2.810166
2020-12-02 19:00:00,1.9,1.52702,1.81,2.371667
2020-12-02 20:00:00,1.9,1.292238,1.72,2.012667
2020-12-02 21:00:00,1.7,1.296319,1.74,2.071
2020-12-02 22:00:00,1.5,1.275689,1.57,2.032667
2020-12-02 23:00:00,1.3,1.193564,1.39,1.95225
2020-12-03 00:00:00,0.8,1.49698,1.28,1.879
2020-12-03 01:00:00,1.3,1.49393,1.2,1.771417
2020-12-03 02:00:00,1.5,0.9888186,1.32,1.544417
2020-12-03 03:00:00,1.2,0.9060914,1.27,1.622667
2020-12-03 04:00:00,1.1,1.368329,1.31,1.702
2020-12-03 05:00:00,0.9,1.719693,1.67,1.804
2020-12-03 06:00:00,1.9,1.798902,1.95,1.8115
2020-12-03 07:00:00,2.9,2.00611,2.29,2.183
2020-12-03 08:00:00,3,2.596957,2.35,2.52525
2020-12-03 09:00:00,3.4,2.549119,2.52,2.703833
2020-12-03 10:00:00,4.2,2.85112,3.37,2.977667
2020-12-03 11:00:00,4.6,3.078895,4.05,3.338416
2020-12-03 12:00:00,4.7,3.43034,4.52,3.8235
2020-12-03 13:00:00,6.1,3.911571,5.68,4.422416
2020-12-03 14:00:00,6.8,4.802788,6.49,6.587833
2020-12-03 15:00:00,6,5.916254,6.18,6.872083
2020-12-03 16:00:00,5.1,6.084289,4.61,5.879333
2020-12-03 17:00:00,4.4,5.29958,3.04,4.027083
2020-12-03 18:00:00,4.7,4.237816,2.34,2.964333
2020-12-03 19:00:00,4.7,3.912442,2.88,2.9035
2020-12-03 20:00:00,4.6,4.365431,2.55,3.628
2020-12-03 21:00:00,4,4.779927,2.49,3.907
2020-12-03 22:00:00,3.8,5.237239,3.18,4.34925
2020-12-03 23:00:00,3.3,6.190034,3.48,5.149333
2020-12-04 00:00:00,4.3,6.664184,5.76,5.526166
2020-12-04 01:00:00,4.8,8.511973,6.61,6.8685
2020-12-04 02:00:00,8.9,8.948934,6.55,7.366917
2020-12-04 03:00:00,7.5,8.636361,7.31,7.480833
2020-12-04 04:00:00,8.3,8.51675,8.62,7.459999
2020-12-04 05:00:00,8.7,8.465911,8.24,8.372166
2020-12-04 06:00:00,8.6,8.600577,7.29,7.333916
2020-12-04 07:00:00,7.8,8.021574,6.99,7.375416
2020-12-04 08:00:00,6.4,7.733643,6.01,6.497667
2020-12-04 09:00:00,6.3,6.348761,5.48,5.914333
2020-12-04 10:00:00,5.1,6.286457,5.68,5.863417
2020-12-04 11:00:00,5.3,5.48825,5.05,5.833
2020-12-04 12:00:00,5.7,4.846991,5.01,5.32
2020-12-04 13:00:00,5.4,4.995512,5.4,5.574167
2020-12-04 14:00:00,4.9,5.328548,4.74,5.665499
